# sky background 0.3-1.0um
# GREY optical sky - 80%ile conditions (day 11)
# AM=1.5
#
#derived from sky spectrum with constant slope to match assumed photometric background
#increasingly poor model at very bright sky (day14);  patched to near-IR background at 920nm
#
#1 March 2001 : Phil Puxley

#nm         phot/s/nm/arcsec^2/m^2
320.00                    0.0000
349.99                    0.0000
350.17                    2.7874
350.43                    2.7866
350.70                    2.7857
350.96                    2.7849
351.23                    2.7841
351.49                    2.7832
351.76                    2.7824
352.02                    2.7815
352.29                    2.7807
352.55                    2.7799
352.82                    2.7790
353.08                    2.7782
353.35                    2.7773
353.62                    2.7765
353.88                    2.7756
354.15                    2.7748
354.41                    2.7740
354.68                    2.7731
354.94                    2.7723
355.21                    2.7714
355.47                    2.7706
355.74                    2.7698
356.00                    2.7689
356.27                    2.7681
356.53                    2.7672
356.80                    2.7664
357.07                    2.7655
357.33                    2.7647
357.60                    2.7639
357.86                    2.7630
358.13                    2.7622
358.39                    2.7613
358.66                    2.7605
358.92                    2.7597
359.19                    2.7588
359.45                    2.7580
359.72                    2.7571
359.98                    2.7563
360.25                    2.7555
360.51                    2.7546
360.78                    2.7538
361.05                    2.7529
361.31                    2.7521
361.58                    2.7512
361.84                    2.7504
362.11                    2.7496
362.37                    2.7487
362.64                    2.7479
362.90                    2.7470
363.17                    2.7462
363.43                    2.7454
363.70                    2.7445
363.96                    2.7437
364.23                    2.7428
364.49                    2.7420
364.76                    2.7412
365.03                    2.7403
365.29                    2.7395
365.56                    2.7386
365.82                    2.7378
366.09                    2.7369
366.35                    2.7361
366.62                    2.7353
366.88                    2.7344
367.15                    2.7336
367.41                    2.7327
367.68                    2.7319
367.94                    2.7311
368.21                    2.7302
368.47                    2.7294
368.74                    2.7285
369.01                    2.7277
369.27                    2.7269
369.54                    2.7260
369.80                    2.7252
370.07                    2.7243
370.33                    2.7235
370.60                    2.7226
370.86                    2.7218
371.13                    2.7210
371.39                    2.7201
371.66                    2.7193
371.92                    2.7184
372.19                    2.7176
372.45                    2.7168
372.72                    2.7159
372.99                    2.7151
373.25                    2.7142
373.52                    2.7134
373.78                    2.7125
374.05                    2.7117
374.31                    2.7109
374.58                    2.7100
374.84                    2.7092
375.11                    2.7083
375.37                    2.7075
375.64                    2.7067
375.90                    2.7058
376.17                    2.7050
376.43                    2.7041
376.70                    2.7033
376.97                    2.7025
377.23                    2.7016
377.50                    2.7008
377.76                    2.6999
378.03                    2.6991
378.29                    2.6982
378.56                    2.6974
378.82                    2.6966
379.09                    2.6957
379.35                    2.6949
379.62                    2.6940
379.88                    2.6932
380.15                    2.6924
380.41                    2.6915
380.68                    2.6907
380.95                    2.6898
381.21                    2.6890
381.48                    2.6882
381.74                    2.6873
382.01                    2.6865
382.27                    2.6856
382.54                    2.6848
382.80                    2.6839
383.07                    2.6831
383.33                    2.6823
383.60                    2.6814
383.86                    2.6806
384.13                    2.6797
384.40                    2.6789
384.66                    2.6781
384.93                    2.6772
385.19                    2.6764
385.46                    2.6755
385.72                    2.6747
385.99                    2.6739
386.25                    2.6730
386.52                    2.6722
386.78                    2.6714
387.05                    2.6706
387.31                    2.6697
387.58                    2.6689
387.84                    2.6681
388.11                    2.6672
388.38                    2.6664
388.64                    2.6656
388.91                    2.6648
389.17                    2.6640
389.44                    2.6631
389.70                    2.6623
389.97                    2.6615
390.23                    2.6607
390.50                    2.6599
390.76                    2.6591
391.03                    2.6583
391.29                    2.6575
391.56                    2.6567
391.82                    2.6559
392.09                    2.6551
392.36                    2.6543
