# telecope reflectivity with 3 aluminium mirrors
# columns are (1) wavelength in nm, (3) reflectivity (0-1)
# source: coating doc models
# author: Phil Puxley
# created 27Aug1999
# updated by Carlos Alvarez and Francisco Ramos  (Observatory Roque de los Muchachos ) 2014 April

250 0.741855
350 0.740525
400 0.73796
450 0.73397
500 0.730075
550 0.730075
600 0.719625
650 0.705375
700 0.68742
750 0.660725
775 0.641915
800 0.62073
825 0.61579
850 0.62073
875 0.635645
900 0.672125
925 0.7106
950 0.74974
1000 0.789545
1200 0.85063
1500 0.878275
2000 0.887965
3000 0.894995
4000 0.90193
5000 0.906205
6000 0.90896
7000 0.91181
8000 0.914565
9000 0.914565
10000 0.914565
11000 0.91599
12000 0.917415
13000 0.917415
14000 0.917415
16000 0.920265
18000 0.920265
20000 0.92169
22000 0.92302
24000 0.924445
26000 0.927295
28000 0.92872
30000 0.930145
